LineNo,LUID,Date,Latitude,Longitude,Floor,BuildingID,Time
241,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:21:21
242,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:21:51
243,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:21:53
244,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:22:21
245,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:22:36
246,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:22:51
247,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:23:21
248,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:23:51
249,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:24:21
250,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:24:51
251,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:25:21
252,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:25:51
253,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:25:54
254,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:26:21
255,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:26:52
256,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:27:22
257,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:27:52
258,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:28:24
259,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:28:54
260,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:29:24
261,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:29:54
262,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:30:27
263,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:30:57
264,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:31:56
265,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:31:57
266,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:32:26
267,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:32:57
268,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:33:13
269,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:33:27
270,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:33:57
271,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:34:58
272,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:35:14
273,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:35:30
274,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:36:00
275,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:36:30
276,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:37:00
277,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:37:31
278,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:38:13
279,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:38:43
280,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:39:13
281,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:39:43
282,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:40:13
